fid,code_giris,can_orient,city_irreg,wdt_str,alb,pop_den,veg_den,bld_hgt,no_wind_d,max_temp,max_dtemp,no_cloud,iuhi,veg_dt,veg_cost,veg_eff,alb_dt,alb_cost,alb_eff,cmb_dt,cmb_cost,cmb_eff,age_perc,pov_perc,alone_perc,dpe_perc,hvi
"392","3328104",E,irregular,4.74,0.1658,1153.35,0.32394,3.98,0.1323,26.1,11.79,38.0778,5.71,0.79,35.85,0.0361,0.59,17.5873,0.0318,1.38,53.4373,0.0372,19.46,8.33,30.95,20.31,10
"393","3328105",E,irregular,4.58,0.1643,5895.29,0.14319,5.01,0.1323,26.1,11.79,38.0778,7.02,1.84,17.661,0.8727,0.73,4.8308,0.7332,2.56,22.4918,0.8373,18.38,13.17,44.52,16.98,13
"394","3328106",S,irregular,4.66,0.1655,1739.89,0.13373,4.57,0.1323,26.1,11.79,38.0778,7.66,1.84,39.191,0.1161,0.73,10.8955,0.0959,2.57,50.0865,0.1114,18.37,10.08,35.39,8.67,11
"395","3328107",E,mixed,4.19,0.1717,2788.79,0.29757,4.5,0.1323,26.1,11.79,38.0778,5.73,1.05,12.014,0.3463,0.590000000000001,4.9697,0.2725,1.64,16.9837,0.336,16.4,8.7,27.21,13.16,8
"396","3328108",E,irregular,4.82,0.158,3297.47,0.10974,4.52,0.1323,26.1,11.79,38.0778,7.1,1.84,18.198,0.4738,0.869999999999999,3.8951,0.6062,2.71,22.0931,0.5047,18.98,12.11,36.58,8.42,11
"397","3328109",S,irregular,4.23,0.1688,3553.68,0.07596,4.19,0.1323,26.1,11.79,38.0778,7.98,2.1,24.049,0.4409,0.73,5.5867,0.3822,2.83,29.6357,0.4234,19.67,6.25,29.97,16.48,12
"398","3328110",E,irregular,4.4,0.161,3964.46,0.34342,5.48,0.1323,26.1,11.79,38.0778,5.89,0.79,8.787,0.5065,0.59,5.502,0.3499,1.38,14.289,0.4778,17.2,8.29,40.21,11.48,10
"399","3328111",E,regular,4.53,0.1653,5797.22,0.09506,5.34,0.1323,26.1,11.79,38.0778,6.74,2.1,17.299,1,0.83,5.6308,0.7033,2.93,22.9298,0.9243,12.52,7.48,34.94,20.09,11
"400","3328112",E,irregular,4.04,0.1669,6036.76,0.05608,5.01,0.1323,26.1,11.79,38.0778,7.36,2.1,18.127,0.9938,0.94,5.6105,0.8325,3.04,23.7375,0.9647,14.7,11.75,44.46,26.78,14
"401","3340200",E,mixed,4.21,0.1653,3803.45,0.17506,6.6,0.3085,26.75,13.51,45.8581,6.49,1.57,10.803,0.7854,0.83,4.2138,0.6166,2.41,15.0168,0.7617,26.89,37.6,52.35,42.76,19
"402","3352201",E,irregular,4.35,0.1628,4248.44,0.22048,5.31,0.1323,26.1,11.79,38.0778,6.49,1.31,129.46,0.0611,0.720000000000001,52.0568,0.0484,2.03,181.5168,0.0593,16.07,17.47,45.91,33.7,14
"403","3355001",E,irregular,4.67,0.1689,1631.7,0.41413,4.11,0.1323,26.1,11.79,38.0778,5.19,0.27,52.761,0.0119,0.46,67.1423,0.0092,0.72,119.9033,0.0122,16.24,10.93,33.17,24.86,9
"404","3403201",S,irregular,4.4,0.1777,10536.73,0.23253,12.92,0.0998,28.52,12.37,83.4783,7.89,1.31,14.452,0.3077,0.94,7.4411,0.371,2.25,21.8931,0.3454,17.07,50.75,55.82,40.68,20
"405","3403202",SE,irregular,4.76,0.1727,7332.69,0.23673,7.95,0.0998,28.52,12.37,83.4783,6.94,1.31,15.042,0.2057,0.94,8.2818,0.232,2.25,23.3238,0.2256,23.64,31.05,48.57,31.98,17
"406","3403205",SW,irregular,5.18,0.1723,7330.63,0.23033,8.55,0.0998,28.52,12.37,83.4783,6.32,1.31,16.534,0.1871,0.83,8.5767,0.1977,2.14,25.1107,0.1993,27.22,28.05,55.56,30.73,16
"407","3403206",SW,irregular,4.71,0.1572,4901.37,0.34748,6.64,0.0998,28.52,12.37,83.4783,6.62,0.79,10.202,0.1223,1.11,10.8955,0.1392,1.9,21.0975,0.1408,23.56,33.15,45.04,9,15
"408","3403208",SE,irregular,4.47,0.1648,4652.29,0.35118,5.5,0.0998,28.52,12.37,83.4783,6.08,0.53,10.309,0.0771,0.59,7.8987,0.0969,1.12,18.2077,0.0913,29.02,32.78,31.58,4.63,14
"409","3405701",SW,irregular,4.22,0.1717,1841.85,0.32925,5.51,0.0691,28.28,9.87,52.8604,6.08,0.79,91.303,0.0051,0.59,39.2291,0.0077,1.38,130.5321,0.0062,18.34,11.93,39.12,11.93,10
"410","3409001",E,irregular,4.16,0.1777,1607.92,0.29104,5.4,0.0691,28.28,9.87,52.8604,6.12,1.05,62.732,0.0087,0.59,18.3162,0.0144,1.64,81.0482,0.0104,21.94,8.76,28.11,17.93,10
"411","3410801",SW,irregular,4.7,0.1924,3898.75,0.21585,5.53,0.0728,27.16,7.38,36.8879,6.3,1.31,12.698,0.1296,0.59,4.2816,0.1498,1.9,16.9796,0.1392,23.57,16.99,33.48,19.8,12
"412","3412001",E,irregular,4.24,0.1716,1755.82,0.24702,5.43,0.0691,28.28,9.87,52.8604,6.38,1.31,46.125,0.0161,0.59,12.0718,0.0239,1.9,58.1968,0.0183,17.87,8.02,24.58,9.13,9
"413","3417201",SE,irregular,4.72,0.1604,2666.62,0.35927,7.44,0.0691,28.28,9.87,52.8604,5.88,0.53,40.432,0.0113,0.59,33.6051,0.0131,1.12,74.0371,0.0129,10.48,26.16,54.37,18.63,13
"414","3417204",S,irregular,5.02,0.1618,5171.53,0.29296,9.71,0.0691,28.28,9.87,52.8604,6.54,1.05,29.229,0.0599,0.45,10.648,0.0609,1.5,39.877,0.0621,12.89,52.52,25.37,9.78,14
"415","3417205",S,irregular,4.7,0.1561,6046.67,0.3891,6.64,0.0691,28.28,9.87,52.8604,6.99,0.53,6.267,0.1648,0.73,6.2512,0.1968,1.26,12.5182,0.1941,12.39,39.43,23.09,11.01,11
"416","3417206",E,irregular,4.44,0.1611,6051.28,0.4062,8.02,0.0691,28.28,9.87,52.8604,5.55,0.26,2.359,0.2149,0.59,3.8544,0.2582,0.85,6.2134,0.2641,13.19,27.15,47.53,22.45,13
"417","3417207",SE,irregular,4.68,0.1578,8575.24,0.32746,6.71,0.0691,28.28,9.87,52.8604,6.65,0.79,17.512,0.1246,1.01,12.8651,0.1877,1.79,30.3771,0.1612,14.79,34.67,46.35,11.57,14
"418","3417208",SE,irregular,4.45,0.1574,4476.7,0.38289,7.16,0.0691,28.28,9.87,52.8604,6.24,0.53,8.091,0.0945,0.87,9.8073,0.1107,1.4,17.8983,0.1117,19.44,19.45,48.46,23.03,12
"419","3417210",E,irregular,4.53,0.1568,5808.33,0.41429,5.97,0.0691,28.28,9.87,52.8604,5.75,0.26,2.974,0.1636,0.87,6.8851,0.2046,1.13,9.8591,0.2124,19.64,19,41.24,12.95,11
"420","3417211",SE,irregular,4.67,0.1749,5390.14,0.34418,6.85,0.0691,28.28,9.87,52.8604,6.22,0.79,10.239,0.134,0.73,7.5902,0.1445,1.51,17.8292,0.1456,23.45,13.55,45.46,11.76,12
"421","3417212",SE,irregular,4.28,0.1546,8082.5,0.29493,7.08,0.0691,28.28,9.87,52.8604,6.91,1.05,12.642,0.2163,0.87,7.2749,0.2694,1.92,19.9169,0.2485,23.9,19,45.79,19.01,14
"422","3417213",SE,irregular,4.74,0.171,3247.58,0.28543,6.45,0.0691,28.28,9.87,52.8604,6.4,1.05,41.575,0.0264,0.73,20.3603,0.0325,1.78,61.9353,0.0298,13.73,18.95,41.3,5.89,12
"423","3417214",SE,irregular,4.94,0.1703,5936.08,0.394,7.27,0.0691,28.28,9.87,52.8604,5.96,0.53,6.079,0.1667,0.59,6.9461,0.1405,1.12,13.0251,0.1628,8.34,22.73,38.19,0.41,10
"424","3417215",SE,irregular,4.6,0.1614,8188.37,0.31822,6.42,0.0691,28.28,9.87,52.8604,6.37,0.79,7.708,0.2704,0.83,6.4173,0.2952,1.62,14.1253,0.2996,19.67,19.18,41.67,26.83,13
"425","3417216",SW,irregular,4.79,0.1708,5154.38,0.31,6.16,0.0691,28.28,9.87,52.8604,6.22,0.79,15.228,0.0862,0.73,8.7225,0.1202,1.51,23.9505,0.1037,20.66,16.59,45.07,13.21,12
"426","3417217",SW,irregular,4.79,0.1703,2490.32,0.15701,6.69,0.0691,28.28,9.87,52.8604,6.92,1.57,30.759,0.041,0.83,11.4379,0.0504,2.4,42.1969,0.0452,7.79,30.98,37.54,28.57,13
